t,MV,PV,DV
1.445000000000000000e+03,1.353659713478466031e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.446000000000000000e+03,1.353136673703706094e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.447000000000000000e+03,1.352615559437243498e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.448000000000000000e+03,1.352096363315727778e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.449000000000000000e+03,1.351579078003976875e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.450000000000000000e+03,1.351063696194867880e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.451000000000000000e+03,1.350550210609229218e+01,4.214000000000000057e+01,6.000000000000000000e+01
1.452000000000000000e+03,1.361044263083731209e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.453000000000000000e+03,1.349587121781844878e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.454000000000000000e+03,1.349079599659250661e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.455000000000000000e+03,1.348573626735672981e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.456000000000000000e+03,1.348069514050603246e+01,4.220000000000000284e+01,6.000000000000000000e+01
1.457000000000000000e+03,1.336561605406960851e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.458000000000000000e+03,1.347008618331183882e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.459000000000000000e+03,1.346509725612234298e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.460000000000000000e+03,1.346012983029553034e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.461000000000000000e+03,1.345518065397127572e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.462000000000000000e+03,1.345024965731624533e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.463000000000000000e+03,1.344533677081024869e+01,4.222999999999999687e+01,6.000000000000000000e+01
1.464000000000000000e+03,1.322032894343903564e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.465000000000000000e+03,1.343440059847182511e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.466000000000000000e+03,1.342953526415024612e+01,4.217000000000000171e+01,6.000000000000000000e+01
1.467000000000000000e+03,1.342469412824823571e+01,4.220000000000000284e+01,6.000000000000000000e+01
