t,man_mode,MV,MVP,MVI,MVD,MVFF,MVMan,DV,SP,PV
5.660000000000000000e+02,0.000000000000000000e+00,1.720200637104883867e+01,-1.627422786473972138e+01,3.347622787180836923e+01,6.363980190123903875e-06,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01,4.215999999999999659e+01,4.654999999999999716e+01
5.670000000000000000e+02,0.000000000000000000e+00,1.737176776232505659e+01,-1.601880276372362744e+01,3.339056310131263672e+01,7.424736048568629882e-06,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01,4.215999999999999659e+01,4.661999999999999744e+01
5.680000000000000000e+02,0.000000000000000000e+00,1.702929708848124335e+01,-1.627422786473972138e+01,3.330353237775661057e+01,-7.424535644804966688e-06,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01,4.215999999999999659e+01,4.652000000000000313e+01
5.690000000000000000e+02,0.000000000000000000e+00,1.730912875895285197e+01,-1.590933486328817814e+01,3.321845301571529063e+01,1.060652574277881334e-05,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01,4.215999999999999659e+01,4.654999999999999716e+01
5.700000000000000000e+02,0.000000000000000000e+00,1.711398229965999107e+01,-1.601880276372362744e+01,3.313278824521955812e+01,-3.181835940922303371e-06,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01,4.215999999999999659e+01,4.642000000000000171e+01
5.710000000000000000e+02,0.000000000000000000e+00,1.750523217143384258e+01,-1.554444186183661003e+01,3.304966024469295149e+01,1.378857750079575242e-05,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01,4.215999999999999659e+01,4.642000000000000171e+01
5.720000000000000000e+02,0.000000000000000000e+00,1.742209038253013631e+01,-1.554444186183661003e+01,3.296653224416634487e+01,2.004017472610099998e-10,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01,4.215999999999999659e+01,4.645000000000000284e+01
5.730000000000000000e+02,0.000000000000000000e+00,1.722890589092315139e+01,-1.565390976227208242e+01,3.288281883518532567e+01,-3.181990092149333857e-06,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01,4.215999999999999659e+01,4.649000000000000199e+01
5.740000000000000000e+02,0.000000000000000000e+00,1.699845367604600810e+01,-1.579986696285270575e+01,3.279832488159841830e+01,-4.242699706794471634e-06,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01,4.215999999999999659e+01,4.642000000000000171e+01
5.750000000000000000e+02,0.000000000000000000e+00,1.717076244381709316e+01,-1.554444186183661003e+01,3.271519688107181167e+01,7.424581892189274584e-06,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01,4.215999999999999659e+01,4.635999999999999943e+01
5.760000000000000000e+02,0.000000000000000000e+00,1.730774000057646234e+01,-1.532550606096566348e+01,3.263323969745403019e+01,6.364088098222748068e-06,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01,4.215999999999999659e+01,4.639000000000000057e+01
5.770000000000000000e+02,0.000000000000000000e+00,1.711571996208309798e+01,-1.543497396140113764e+01,3.255069710538183614e+01,-3.181897600069300590e-06,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01,4.215999999999999659e+01,4.635999999999999943e+01
5.780000000000000000e+02,0.000000000000000000e+00,1.714323704274223914e+01,-1.532550606096566348e+01,3.246873992176405466e+01,3.181943849694101264e-06,0.000000000000000000e+00,5.000000000000000000e+01,5.000000000000000000e+01,4.215999999999999659e+01,4.635999999999999943e+01
